TextID,Langauage,TextType,Speaker,Text,Info
Txt_KR_T_26,KR,Tutorial,Frank,"마우스 오른쪽 버튼을 이용하면 돌려볼 수 있고, 왼쪽 버튼을 클릭하면 책을 열어볼 수 있다.",튜토리얼 텍스트 ver.260106
Txt_KR_T_27,KR,Tutorial,Frank,칼이 들어 있지?,튜토리얼 텍스트 ver.260106
Txt_KR_T_28,KR,Tutorial,Frank,이런 식으로 죄수 놈들은 멀쩡한 물건에 위험한 것들을 숨겨 놓는다.,튜토리얼 텍스트 ver.260106
Txt_KR_T_29,KR,Tutorial,Frank,그냥 겉보기에 이상 없다고 괜찮구나- 했다가는 바로 (목 긋는 시늉) 잘리는 거지.,튜토리얼 텍스트 ver.260106
Txt_KR_T_30,KR,Tutorial,Frank,"그래서 눈치를 잘 채야 해. 뭐가 이상한지, 뭐가 멀쩡한 건지 잘 파악하는 게 중요하거든.",튜토리얼 텍스트 ver.260106
Txt_KR_T_31,KR,Tutorial,Frank,자신이 없다면 그냥 감방 안을 샅샅이 뒤지라고.,튜토리얼 텍스트 ver.260106
Txt_KR_T_32,KR,Tutorial,Frank,"감방 구석구석, 벽돌 하나하나까지 다.",튜토리얼 텍스트 ver.260106
Txt_KR_T_33,KR,Tutorial,Frank,그래. 내가 얘기해줄 수 있는 건 대충 이 정도다.,튜토리얼 텍스트 ver.260106
Txt_KR_T_34,KR,Tutorial,Frank,"당장 일손이 부족하니, 더 가르쳐줄 시간 따위는 없단 말이지.",튜토리얼 텍스트 ver.260106
Txt_KR_T_35,KR,Tutorial,Frank,나머지는 구르면서 배워라.,튜토리얼 텍스트 ver.260106
Txt_KR_T_36,KR,Tutorial,Frank,"소장님께 말을 걸어서 네가 오늘 해야 하는 미션을 체크하고, 직접 일해보라고.",튜토리얼 텍스트 ver.260106
Txt_KR_T_37,KR,Tutorial,Frank,좀 오래 버텨서 네 쓸모를 증명해봐.,튜토리얼 텍스트 ver.260106
